               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  42,             0.10838,             0.20995,            0.034424,             0.18484,             0.47773,              0.1149,            0.052651,            0.011938,             0.10803,             0.19125,            0.032352,             0.18339,           0.0091987,           0.0091987,           0.0091987
                  43,             0.10946,             0.21965,            0.033623,             0.18432,             0.53188,             0.10165,            0.065325,            0.016273,             0.10769,             0.20623,            0.035143,             0.18349,           0.0091606,           0.0091606,           0.0091606
                  44,             0.10754,             0.19602,            0.033528,             0.18354,              0.4934,            0.095207,            0.050189,            0.011973,              0.1082,             0.19153,            0.035584,             0.18218,           0.0091217,           0.0091217,           0.0091217
                  45,             0.10834,             0.18987,            0.033016,             0.18273,             0.51723,             0.11823,            0.073116,            0.018722,             0.10766,              0.1868,             0.03056,             0.18091,           0.0090821,           0.0090821,           0.0090821
                  46,             0.10907,             0.19718,            0.031183,             0.18132,              0.5628,             0.10342,            0.064528,            0.015249,             0.10824,             0.20218,             0.03263,             0.17986,           0.0090416,           0.0090416,           0.0090416
                  47,             0.10738,             0.20629,            0.031933,             0.18118,              0.5156,             0.10676,            0.065918,            0.016102,             0.10902,             0.18692,            0.030607,             0.18066,           0.0090004,           0.0090004,           0.0090004
                  48,             0.11086,             0.22146,            0.028171,             0.18109,             0.50235,             0.11966,            0.069844,            0.018037,             0.10669,             0.18881,            0.031182,             0.17831,           0.0089585,           0.0089585,           0.0089585
                  49,             0.10869,             0.20064,            0.031569,             0.17874,             0.51257,             0.12822,            0.081507,            0.022668,              0.1079,             0.18404,            0.030186,             0.17676,           0.0089159,           0.0089159,           0.0089159
                  50,             0.10526,             0.19656,            0.030337,             0.17719,             0.52671,             0.11875,            0.079105,            0.021615,             0.10626,             0.20462,            0.029301,             0.17641,           0.0088725,           0.0088725,           0.0088725
                  51,              0.1075,             0.20352,            0.025715,             0.17668,             0.66084,             0.12834,            0.089279,            0.023486,             0.10592,             0.18605,            0.028243,             0.17479,           0.0088284,           0.0088284,           0.0088284
                  52,             0.10723,              0.1937,            0.028359,             0.17616,             0.50835,             0.12334,            0.076424,            0.020384,              0.1076,             0.18312,            0.029553,              0.1752,           0.0087837,           0.0087837,           0.0087837
                  53,             0.10613,             0.20873,            0.028774,             0.17536,             0.63939,             0.11997,            0.076807,            0.020557,             0.10559,             0.19591,            0.027694,             0.17401,           0.0087382,           0.0087382,           0.0087382
                  54,             0.10781,             0.21712,            0.027741,              0.1754,             0.59847,             0.13056,            0.086631,            0.024593,             0.10536,             0.18821,            0.029118,             0.17299,           0.0086921,           0.0086921,           0.0086921
                  55,             0.10536,             0.20039,            0.027512,             0.17348,             0.60237,             0.13642,            0.089248,            0.025389,             0.10463,             0.19065,            0.028506,             0.17302,           0.0086452,           0.0086452,           0.0086452
                  56,             0.10514,             0.20188,             0.02784,             0.17203,             0.56172,             0.12351,            0.095925,            0.026857,             0.10548,             0.18802,            0.029057,             0.17123,           0.0085978,           0.0085978,           0.0085978
                  57,             0.10688,             0.19172,            0.027239,             0.17199,             0.60236,             0.12708,            0.083761,            0.025455,             0.10529,             0.18534,            0.028503,             0.16915,           0.0085497,           0.0085497,           0.0085497
